community,prop_unsupp_0,prop_unsupp_1,prop_unsupp_2,prop_unsupp_3
Bugamba,0.378839590443686,0.36342592592592593,0.36513443191673894,0.38396624472573837
Bugono,0.39705882352941174,0.3952483801295896,0.41879637262984337,0.4425901201602136
Bware,0.3601003764115433,0.3520900321543408,0.3887884267631103,0.4252008032128514
Kadama,0.30648769574944074,0.3548387096774194,0.42293233082706766,0.49304029304029307
Kameke,0.3327272727272727,0.39414414414414417,0.42449664429530204,0.4626262626262626
Kamuge,0.4426751592356688,0.39373970345963755,0.3272604588394062,0.30233884768967484
Kazo,0.34548335974643424,0.37423312883435583,0.4019607843137255,0.45646916565900847
Kisegi,0.4056974459724951,0.3525856279382136,0.35348837209302325,0.36418685121107264
Kitare,0.36671177266576455,0.34628670120898103,0.41537467700258396,0.41449426485922836
Kitwe,0.36428571428571427,0.3450834879406308,0.3784722222222222,0.42970521541950113
Kiyeyi,0.3271604938271605,0.35460122699386504,0.44434222631094755,0.47728965003723006
Kiyunga,0.359375,0.3664011585807386,0.3892580287929125,0.4090293453724605
Magunga,0.38295165394402036,0.3727422003284072,0.4015056461731493,0.4122852680895367
Merikit,0.384321223709369,0.40567200986436497,0.4246959775491113,0.45206489675516226
Mitooma,0.44783983140147526,0.34649476228847703,0.2956521739130435,0.2832369942196532
Muyembe,0.391304347826087,0.3853503184713376,0.4202085004009623,0.4260355029585799
Nankoma,0.3961708394698085,0.37286432160804023,0.358678955453149,0.3507228158390949
Nsiika,0.38353413654618473,0.36516129032258066,0.379,0.40946843853820597
Nsiinze,0.3168674698795181,0.35797665369649806,0.38615560640732266,0.44103992571959144
Nyamrisra,0.37543859649122807,0.37028301886792453,0.39149689991142606,0.4089246525237747
Nyamuyanja,0.33868092691622104,0.34738041002277903,0.42408821034775235,0.46629986244841815
Nyatoto,0.3668005354752343,0.37815126050420167,0.42041078305519897,0.4587251828631139
Ogongo,0.47672362993517975,0.375968992248062,0.324926439680538,0.2877535687453043
Ongo,0.34285714285714286,0.37773359840954274,0.4143070044709389,0.4525504151838671
Othoro,0.3862581244196843,0.3599449415003441,0.3265086206896552,0.3259393390674513
Rubaare,0.375,0.3759347382732835,0.3783231083844581,0.3795435333896872
Rugazi,0.34595300261096606,0.3550436854646545,0.39454976303317535,0.4481427882296189
Ruhoko,0.3431372549019608,0.3776923076923077,0.41436138905238373,0.4337856808610201
Rwashamaire,0.3390191897654584,0.3808864265927978,0.43083421330517424,0.4435763888888889
Sena,0.3991228070175439,0.34750733137829914,0.3688888888888889,0.3896797153024911
Sibuoche,0.3559556786703601,0.3668161434977579,0.41276306856754924,0.4517543859649123
Tom Mboya,0.4008042895442359,0.3501454898157129,0.3414080242240727,0.3419395465994962
